Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,8,1,1,6,1,0,64,0,0,8,2,1,64,1,0,2,2,1,16,0,1,4,3,0.196749450946,0.9537
1,16,1,1,6,2,1,16,1,1,1,2,1,32,0,1,1,1,0,128,1,1,6,0,0.0538139460137,0.9809
1,32,1,1,3,1,1,32,0,0,7,2,0,64,1,0,2,2,1,16,1,1,6,0,0.0709964818418,0.9795
1,8,1,1,9,2,1,64,0,0,3,2,1,16,0,0,1,1,0,128,1,1,6,0,0.0533739549242,0.9822
1,32,1,1,3,1,1,32,0,0,7,2,0,64,1,0,2,2,1,16,0,1,4,3,0.142875797313,0.9673
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,1,9,1,0,64,0,1,4,3,0.169564568216,0.9666
1,64,1,1,6,1,0,64,0,0,8,2,0,64,1,1,9,0,0,32,1,0,6,0,2.00744210718,0.8415
1,64,1,0,1,2,0,16,1,0,6,2,1,32,1,1,2,1,0,512,0,0,9,2,14.5385218414,0.098
1,64,1,1,6,1,0,64,0,0,8,2,0,64,1,1,9,0,0,32,1,1,4,3,0.209247297627,0.9374
1,8,1,1,6,1,0,64,0,0,8,2,1,64,1,1,10,0,0,32,1,0,6,0,0.461015122884,0.9087
1,32,1,1,2,1,0,16,0,0,10,0,1,64,0,1,9,1,0,64,0,1,4,3,0.137620097345,0.9693
1,32,1,1,3,1,1,32,0,0,7,2,0,64,1,0,2,1,0,128,1,1,6,0,0.052319590304,0.9837
1,32,1,1,2,1,0,16,0,0,10,0,1,64,1,0,2,2,1,16,0,1,4,3,0.102583707678,0.9777
1,32,1,1,3,1,1,32,0,0,7,0,0,64,1,0,2,2,1,16,1,0,6,0,0.105604491185,0.966
1,32,1,1,3,1,1,32,0,0,7,2,1,64,1,0,4,1,1,256,0,1,10,3,0.040687217191,0.9863
1,32,1,1,3,1,1,32,0,0,7,2,0,64,1,0,2,2,1,16,0,1,4,3,0.147768895137,0.9653
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,0,2,2,1,16,0,1,9,3,0.196038341069,0.9657
1,16,1,1,6,2,1,8,1,1,1,2,1,64,1,0,4,1,1,256,0,1,10,3,0.0527829436759,0.9819
1,32,1,1,2,1,0,16,0,0,10,0,1,64,0,1,9,1,0,64,0,1,4,3,0.13101702733,0.9733
1,32,1,1,6,2,1,8,1,1,1,2,1,64,1,0,4,1,1,256,0,1,10,3,0.0627257896685,0.9795
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,0,2,2,0,16,0,1,9,3,0.0743259116489,0.978
1,32,1,1,3,1,1,32,0,0,7,0,0,64,1,0,2,2,1,16,1,0,6,0,0.07281694397,0.9797
1,16,1,1,6,2,1,32,0,0,7,2,0,64,1,0,2,1,0,128,1,1,6,0,0.0466242892642,0.9866
1,32,1,1,2,1,0,16,0,0,10,0,1,64,1,0,2,1,0,128,1,1,6,0,0.0671867265429,0.9782
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,1,2,2,1,16,0,1,9,3,0.274585031056,0.9472
1,32,1,1,3,1,1,32,1,0,7,0,0,64,1,0,2,2,1,16,1,1,6,0,0.0705771981522,0.9851
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,0,2,2,1,16,0,1,4,3,0.122677308363,0.9692
1,64,1,1,6,1,0,64,0,0,8,2,0,64,1,1,9,0,0,32,1,1,4,3,1.73495819271,0.8526
1,32,1,1,8,1,0,16,0,0,10,0,1,64,1,0,2,1,0,128,1,1,6,0,0.19919174912,0.9361
1,16,1,1,2,2,1,32,0,0,7,2,0,64,1,0,4,1,1,256,0,1,10,3,0.0584768538473,0.982
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,1,2,2,0,16,0,1,9,3,0.106952418067,0.9692
1,32,1,1,2,1,0,16,0,1,1,2,1,64,1,0,4,1,1,256,0,1,10,3,0.0602268704068,0.98
1,32,1,1,2,1,0,16,0,0,10,0,1,64,0,1,9,1,0,64,0,1,4,3,0.138102375811,0.9704
1,32,1,1,2,1,0,16,0,0,10,0,1,32,1,1,2,2,1,16,0,1,6,3,0.270492242122,0.9403
1,16,1,1,6,2,1,32,0,0,7,2,0,64,1,0,2,1,0,128,1,1,6,0,0.0522446096138,0.9822
1,32,1,1,2,1,0,16,0,0,10,0,1,32,0,0,2,2,0,16,0,1,9,3,0.0647015805352,0.9816
1,16,1,1,6,2,1,32,0,0,7,0,0,64,1,0,2,2,1,16,0,0,6,0,2.30105344086,0.1135
