Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0359400873332,0.988
1,16,1,0,10,1,1,8,0,0,1,2,1,64,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0354774810963,0.9887
1,32,1,0,4,1,1,16,0,1,7,2,1,16,0,1,1,2,1,16,1,1,0,2,0,256,1,1,7,0,0.0481709285557,0.9842
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0500427156791,0.9855
1,64,0,0,2,2,0,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,0,7,0,0.033047764358,0.9888
1,64,0,0,2,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,2,1,256,1,1,3,3,0.0543689108977,0.9829
1,32,1,0,4,1,1,16,0,0,4,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,8,0,0.0641354540899,0.988
1,16,1,0,2,1,1,16,0,0,7,2,1,64,0,0,1,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0543083380178,0.9908
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0388512121001,0.9869
1,64,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0519302428991,0.9896
1,64,0,0,8,2,1,64,1,0,4,1,1,16,1,0,7,2,1,64,1,0,4,1,1,64,1,1,3,3,0.0634690972418,0.987
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.0636533878654,0.9894
