Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,0,0,5,0,1.23004442616,0.5535
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.41441082478,0.5246
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.3327693737,0.5377
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,1024,1,0,1,0,1.07714499989,0.6099
1,32,0,0,1,1,1,32,1,0,6,1,1,64,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.33846372757,0.5374
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.09452538376,0.6271
1,64,1,0,8,2,1,8,0,0,5,0,0,32,1,0,10,1,0,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.24450639744,0.5716
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,32,1,0,3,1,128,0,0,0,2,1.72046789093,0.4469
1,64,1,0,10,2,0,8,1,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.73562354698,0.4513
1,32,0,0,7,1,0,32,0,0,0,0,1,16,1,0,4,0,0,16,1,0,4,1,1,8,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,2.23329139938,0.302
1,64,1,0,10,2,0,8,1,0,8,2,0,8,1,0,2,0,1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,2,1,256,1,0,4,1,1.27080852757,0.5948
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,1,0,1,16,1,0,8,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.29168127384,0.562
1,32,0,0,1,1,1,16,1,0,2,1,0,32,0,0,6,1,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,0.971503677464,0.6796
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.50368090534,0.5109
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,9,2,1,1024,1,0,8,0,1024,0,0,5,1,1.42027689228,0.5337
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.32674946728,0.5351
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.12253979645,0.603
1,32,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.25212103596,0.603
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.22817721157,0.5884
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,1,1.20355251141,0.636
1,16,1,0,3,1,0,8,1,0,8,2,0,8,1,0,2,0,1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,2,1,256,1,0,4,1,1.08302266159,0.618
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.63603246269,0.5573
