Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,64,1,0,8,2,0,16,0,0,2,1,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.12035070457,0.6086
1,64,1,0,0,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.15760564594,0.6091
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.07989481783,0.6333
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05883719082,0.6399
1,64,1,0,6,2,0,16,0,0,10,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,11.5272906403,0.2431
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,14.5062856644,0.1
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.13625126152,0.6033
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11943521156,0.6106
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09279004173,0.6233
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06283532133,0.6377
1,64,0,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05787126217,0.6299
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03149927959,0.6439
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.14215279274,0.6038
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05025479279,0.6371
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0751215436,0.6369
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0888513052,0.6223
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0434151185,0.6443
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03151928406,0.6431
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05093939476,0.6445
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05248465633,0.6367
1,64,0,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03982051754,0.6389
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.20605223331,0.5898
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11832729416,0.6178
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.04689472885,0.6365
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.14346378822,0.6032
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.04878930588,0.6422
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,14.5062856964,0.1
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.07275565472,0.6283
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03697482166,0.6379
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.10373446398,0.6227
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.07843292828,0.6268
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06418778696,0.6404
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09461362343,0.6195
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.07387387657,0.6262
