Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,0.0425135001397,0.9864
1,16,0,1,0,2,1,8,0,1,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,3.67208977165,0.101
1,16,0,1,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.0818052591927,0.9732
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,6.66,0.1
1,16,0,1,0,0,1,32,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,14.5481927002,0.0974
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.042354229155,0.9859
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0512557732903,0.9847
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.0438959924151,0.9855
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,1,0,0,0,256,0,1,0,3,14.2886914627,0.1135
1,16,0,1,0,1,1,8,0,0,0,1,1,64,0,0,0,0,0,256,0,1,0,3,0.0846335389571,0.9727
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,0.0507637685155,0.985
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,3,0.0569414806796,0.9814
1,16,0,1,0,0,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.0650770579895,0.979
1,16,0,1,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0980763331633,0.9703
1,8,0,1,0,0,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.107213904104,0.9681
1,64,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,14.2886914627,0.1135
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0423930226578,0.9854
1,16,0,0,0,1,1,8,0,0,0,1,1,64,0,0,0,0,0,256,0,1,0,3,0.0451539421871,0.9847
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,3,0.0614499817058,0.9799
1,16,0,1,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.116384195013,0.9644
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0325537043806,0.99
1,16,0,1,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0818925618023,0.9738
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,0,0.0616561263033,0.9799
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,0,0.0555881882165,0.9808
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,0.0591045679706,0.9839
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0520896017867,0.9825
1,16,0,0,0,1,1,8,0,0,0,1,1,64,0,0,0,0,0,1024,0,1,0,2,0.0437691015796,0.9858
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0411430831768,0.9858
1,16,0,1,0,1,1,8,0,0,0,1,1,64,0,0,0,0,0,256,0,1,0,0,0.0554900444043,0.9817
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0519446074929,0.9838
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,3,0.0621229572521,0.9806
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0349029164551,0.9888
1,32,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0408164786663,0.9864
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0389543938128,0.9886
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0448266169625,0.9856
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0437664094014,0.9847
1,8,0,0,0,1,1,8,0,0,0,2,0,64,0,0,0,2,0,1024,0,1,0,0,0.0549144531625,0.9821
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0370580953886,0.9877
1,16,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0357064529358,0.9882
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,0,1,1024,0,1,0,0,0.0390031367771,0.9879
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.041027918044,0.9861
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,0,1024,0,1,0,2,0.0881262873225,0.9736
1,16,0,1,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.052768039208,0.9828
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,0,1,1024,0,1,0,0,0.0307476360501,0.9894
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.036369639125,0.9885
1,16,0,0,0,1,1,8,0,0,0,1,1,64,0,0,0,0,0,1024,0,1,0,2,0.0402559825234,0.9867
1,16,0,0,0,1,1,8,0,0,0,2,1,8,0,0,0,0,1,1024,0,1,0,0,0.0338089193096,0.989
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0385211041143,0.9871
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0387074388232,0.9882
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,1024,0,1,0,0,0.0423890868416,0.9855
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.0400942961539,0.987
1,8,0,0,0,1,1,8,0,0,0,2,0,64,0,0,0,2,0,1024,0,1,0,0,0.0686786807755,0.98
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,0,1,1024,0,1,0,0,0.034963544246,0.9894
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,0,1,512,0,1,0,0,0.0307033080741,0.9897
1,8,0,0,0,1,1,8,0,0,0,2,1,64,0,0,0,2,0,1024,0,1,0,0,0.031490986211,0.9908
